Question;Albania;Austria;Belgium;Bulgaria;Croatia;Cyprus;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Montenegro;Poland;Portugal;Romania;Serbia;Slovakia;Slovenia;Spain;Sweden;The Czech Republic;The Netherlands;The Republic of North Macedonia;Turkey
058 - Does the national law contain specific provisions requiring the disclosure of ownership details in the news media sector?;1.00;0.00;0.50;0.00;0.00;0.50;1.00;1.00;1.00;0.00;0.50;0.50;0.50;1.00;0.00;0.50;0.00;0.50;0.50;0.00;0.50;0.00;0.50;0.00;0.50;0.00;0.50;1.00;1.00;1.00;0.50;0.50;
059 - Does the law stipulate sanctions in case of violations of transparency requirements for news media, and are they applied in practice?;NA;0.00;0.00;0.50;0.00;0.50;NA;NA;NA;0.00;0.00;0.50;0.50;NA;0.50;1.00;0.50;1.00;0.00;0.50;0.50;0.00;0.50;0.50;0.00;0.50;0.00;NA;NA;NA;0.00;0.00;
060 - Is disclosure of news media ownership effectively provided to public bodies and to the public?;0.50;0.00;0.00;0.50;0.00;0.50;0.00;0.50;0.50;0.50;0.00;0.50;0.50;0.00;0.50;0.50;0.50;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.50;0.00;0.50;0.00;0.00;0.50;
061 - Does the national law contain specific provisions requiring the disclosure of ownership details in the digital news media sector?;1.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.50;1.00;1.00;0.50;1.00;0.00;0.50;1.00;0.00;1.00;0.00;1.00;0.50;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;
062 - Does the law stipulate sanctions in case of violations of transparency requirements for digital news media, and are they applied in practice?;NA;0.00;NA;0.50;0.00;NA;NA;NA;NA;0.00;0.00;1.00;NA;NA;0.50;NA;0.50;1.00;NA;0.50;NA;0.00;NA;0.50;NA;0.50;NA;NA;NA;NA;NA;NA;
063 - Is disclosure of digital news media ownership effectively provided to public bodies and to the public?;1.00;0.00;0.50;0.50;0.00;1.00;0.50;0.50;0.50;0.50;0.00;0.50;0.50;0.00;0.50;0.50;0.50;0.50;0.00;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.50;0.00;1.00;0.00;0.50;0.50;
064 - Does the law require disclosure of information about the ultimate owners of news media?;1.00;0.50;0.50;0.50;1.00;0.50;0.50;1.00;1.00;0.00;0.50;0.50;0.50;1.00;0.00;0.50;1.00;0.00;0.50;0.00;0.50;0.00;0.50;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
065 - Is sufficient and updated information to identify the beneficial and ultimate owners of media outlets publicly accessible?;0.50;1.00;0.50;0.50;1.00;1.00;0.50;0.00;0.50;0.50;0.00;0.50;1.00;0.00;1.00;1.00;0.50;0.50;0.50;1.00;0.50;0.50;0.50;0.50;1.00;1.00;1.00;0.00;0.50;0.50;0.50;1.00;
066 - Does the national law contain specific provisions requiring the disclosure of information about the ultimate owners of digital native news media?;1.00;0.50;1.00;0.00;1.00;1.00;1.00;1.00;1.00;0.50;0.00;0.50;1.00;1.00;0.50;1.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
067 - Is sufficient  and updated information to identify the beneficial and ultimate owners of digital native news media outlets publicly accessible?;0.50;1.00;1.00;0.50;1.00;1.00;0.50;0.00;0.50;0.50;0.50;1.00;1.00;0.50;1.00;1.00;0.50;0.50;0.00;1.00;0.50;0.50;1.00;0.50;1.00;1.00;1.00;0.00;1.00;0.50;0.50;1.00;
068 - Does media legislation contain specific thresholds and/or other limitations that are based on objective criteria (e.g. number of licences, audience share, circulation, distribution of share capital or voting rights, turnover/revenue, etc.) in order to prevent a high degree of horizontal concentration of ownership in the news media sector (AVMS, radio, newspapers, digital native)?;0.50;0.50;0.50;1.00;0.50;0.50;1.00;0.50;1.00;0.50;0.00;0.50;0.50;0.50;0.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.00;0.50;0.50;0.50;1.00;0.50;0.50;0.50;0.50;
069 - Does the regulation about concentration in the media sector apply to the digital news media?;1.00;1.00;1.00;NA;1.00;1.00;NA;0.00;NA;0.50;0.50;1.00;1.00;1.00;0.50;NA;NA;NA;1.00;1.00;0.50;1.00;1.00;0.50;1.00;0.50;1.00;NA;1.00;1.00;1.00;1.00;
070 - Is there an administrative authority or judicial body (e.g. media and/or competition authority) overseeing compliance with ownership limitations in the news media sector and/or hearing relevant complaints?;0.50;0.00;0.00;NA;0.50;0.50;0.00;1.00;0.00;0.50;0.00;0.00;0.00;0.50;0.00;0.50;0.50;NA;0.50;0.50;0.50;0.50;0.00;0.00;0.50;0.50;0.50;NA;0.50;0.50;0.50;0.50;
071 - Does the law grant this body sanctioning/enforcement powers in order to impose proportionate remedies (behavioral and/or structural) where the applicable thresholds and/or other ownership limitations are not respected and are they effective?;0.50;0.50;0.00;NA;0.00;0.50;0.00;NA;0.50;0.00;0.00;0.00;0.50;0.50;0.50;1.00;0.50;NA;0.50;0.00;1.00;0.00;0.00;0.50;0.50;0.50;0.50;NA;0.00;0.00;0.00;0.00;
072 - What is the market share of the Top4 audiovisual media owners in your country?;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;1.00;1.00;NA;NA;1.00;1.00;NA;1.00;NA;1.00;1.00;1.00;1.00;NA;NA;1.00;1.00;1.00;1.00;NA;1.00;NA;
073 - What is the audience concentration of the Top4 audiovisual media owners in your country?;NA;1.00;1.00;1.00;1.00;0.50;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;1.00;0.50;0.50;
074 - What is the market share of the Top4 radio owners?;1.00;1.00;1.00;NA;1.00;0.50;NA;1.00;1.00;NA;NA;0.50;NA;NA;1.00;1.00;NA;1.00;NA;1.00;1.00;NA;1.00;NA;NA;1.00;1.00;1.00;1.00;NA;0.50;NA;
075 - What is the audience concentration of the Top 4 radio owners in your country?;NA;1.00;1.00;1.00;0.50;1.00;NA;0.50;1.00;1.00;1.00;NA;1.00;1.00;NA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;1.00;NA;0.50;
076 - What is the market share of the Top4 newspapers owners?;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;NA;1.00;0.50;1.00;1.00;1.00;0.00;NA;1.00;1.00;1.00;NA;NA;1.00;NA;1.00;1.00;NA;1.00;1.00;NA;1.00;NA;
077 - What is the audience concentration of the Top 4 newspapers in your country?;NA;1.00;1.00;NA;0.00;1.00;1.00;1.00;1.00;1.00;0.50;1.00;NA;NA;1.00;0.00;0.00;NA;NA;NA;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;1.00;1.00;NA;1.00;
078 - What is the market share of the Top4 online news media in your country?;0.75;1.00;1.00;0.75;0.50;NA;0.75;1.00;0.75;0.75;0.50;NA;NA;0.75;NA;1.00;1.00;0.75;0.75;0.75;0.75;0.75;NA;NA;0.75;NA;NA;0.75;NA;0.75;0.50;0.75;
079 - What is the audience share of the Top 4 online news media in your country?;NA;0.50;1.00;NA;1.00;0.50;NA;1.00;1.00;NA;0.00;0.00;1.00;NA;1.00;1.00;1.00;NA;NA;NA;NA;NA;0.50;1.00;0.50;1.00;0.50;NA;1.00;NA;0.50;NA;
080 - Does media legislation establish specific thresholds and/or other limitations that are based on objective criteria (e.g. number of licences, audience share, circulation, distribution of share capital or voting rights, turnover/revenue, etc.) in order to prevent a high degree of cross-media concentration of ownership?;1.00;0.50;1.00;1.00;0.50;0.50;1.00;0.50;1.00;0.50;0.50;0.50;0.50;1.00;0.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;1.00;0.00;0.50;0.50;1.00;1.00;1.00;1.00;0.50;1.00;
081 - Is there an administrative authority or judicial body (e.g. media authority) overseeing compliance with these ownership limitations and/or hearing relevant complaints?;NA;0.00;NA;NA;0.50;0.50;NA;0.00;NA;0.50;0.00;0.00;0.00;NA;0.00;NA;1.00;NA;NA;0.50;NA;NA;NA;0.00;0.50;0.50;NA;NA;NA;NA;0.50;NA;
082 - Does the law grant body sanctioning/enforcement powers in order to impose proportionate remedies (behavioral and/or structural) where the applicable thresholds and/or limitations are not respected? And are they effective?;NA;0.50;NA;NA;0.50;0.50;0.00;0.00;NA;0.00;0.00;0.00;0.50;NA;0.50;1.00;NA;NA;NA;0.00;NA;NA;NA;0.50;0.50;0.50;NA;NA;NA;NA;0.00;NA;
083 - What is the market share of the Top4 news media owners across different media markets?;NA;1.00;1.00;NA;1.00;0.75;NA;1.00;1.00;0.75;0.50;0.75;0.75;NA;1.00;NA;NA;NA;NA;1.00;1.00;NA;NA;1.00;1.00;0.75;1.00;NA;1.00;NA;NA;NA;
084 - Which is the main way in which people access news online in your country? (direct/side-door/equivalent);1.00;1.00;1.00;1.00;1.00;0.50;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;0.50;NA;0.50;0.50;1.00;1.00;1.00;NA;1.00;1.00;1.00;0.00;0.50;0.00;1.00;1.00;
085 - What is the online advertising market share of the Top4 online players in your country?;1.00;NA;NA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;NA;1.00;1.00;NA;
086 - What is the audience concentration of the Top 4 online players in your country?;NA;1.00;1.00;NA;NA;NA;NA;1.00;NA;0.50;1.00;NA;NA;NA;1.00;1.00;NA;NA;NA;1.00;NA;NA;NA;NA;NA;1.00;1.00;NA;1.00;1.00;NA;0.50;
087 - Can a high degree of ownership concentration  be prevented through the enforcement of competition rules, that take into account the specificities and the evolution of the media sector?;1.00;1.00;1.00;1.00;1.00;0.50;0.50;1.00;1.00;0.50;0.50;1.00;0.50;1.00;0.50;1.00;0.50;1.00;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;1.00;0.50;1.00;1.00;
088 - Is there an administrative authority or judicial body (e.g. media and/or competition and/or data protection authority) overseeing compliance with these rules, with effective sanctioning/enforcing powers?;1.00;0.50;NA;NA;0.50;1.00;0.00;0.50;NA;0.50;0.00;0.50;1.00;NA;0.50;0.50;1.00;1.00;NA;0.50;NA;1.00;NA;0.50;0.50;0.50;0.50;0.50;1.00;0.50;NA;0.50;
089 - Can a high degree of  concentration in advertising market be prevented through the enforcement of competition rules, that take into account the specificities of the media sector?;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.00;1.00;1.00;NA;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;1.00;1.00;0.50;0.50;
090 - Is there an administrative authority or judicial body (e.g. media and/or competition authority) overseeing compliance with competition rules in advertising market, with effective sanctioning/enforcing powers?;0.50;0.50;0.00;NA;1.00;1.00;0.00;1.00;1.00;0.50;0.00;0.50;0.50;NA;0.50;0.50;0.50;1.00;0.50;0.50;1.00;1.00;NA;0.50;0.00;0.50;0.50;0.50;NA;1.00;0.50;0.50;
091 - Are there any regulatory safeguards ensuring that State funds granted to PSM do not exceed what is necessary to provide the public service (i.e. safeguards which ensure that State funding of PSM does not cause disproportionate effects on competition)? and are these safeguards effective?;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.50;1.00;1.00;1.00;0.00;1.00;0.50;0.00;0.50;0.00;0.00;0.00;0.00;0.00;1.00;
092 - Has your country introduced or scheduled some form of taxation of digital services, and is it effective?;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;1.00;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;1.00;0.50;1.00;1.00;0.50;
093 - Have revenues of the audiovisual sector increased or decreased over the past year?;1.00;0.50;0.00;0.00;NA;1.00;NA;1.00;1.00;1.00;1.00;NA;0.50;1.00;0.50;1.00;0.50;1.00;NA;0.50;1.00;1.00;0.00;NA;1.00;NA;1.00;1.00;1.00;1.00;NA;0.00;
094 - Have revenues of the radio sector increased or decreased over the past year?;NA;0.00;0.00;1.00;0.00;1.00;NA;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;NA;0.50;1.00;NA;1.00;NA;1.00;NA;1.00;NA;1.00;1.00;NA;1.00;
095 - Have revenues of the newspaper publishing and press agencies sector increased or decreased over the past year?;1.00;0.50;1.00;1.00;1.00;1.00;0.50;0.50;1.00;1.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;NA;0.50;1.00;1.00;1.00;NA;1.00;NA;1.00;NA;1.00;1.00;NA;1.00;
096 - Have revenues of digital native news media  increased or decreased over the past year?;NA;NA;1.00;NA;NA;1.00;NA;NA;NA;NA;0.00;NA;0.00;NA;NA;1.00;1.00;NA;NA;0.50;0.00;NA;0.00;NA;0.50;NA;NA;0.50;0.00;NA;0.00;NA;
097 - Have revenues of the local media increased or decreased over the past year?;1.00;NA;0.50;1.00;NA;1.00;NA;0.50;NA;1.00;1.00;NA;NA;1.00;NA;1.00;NA;NA;NA;0.50;0.50;1.00;NA;ND;1.00;NA;NA;0.50;1.00;1.00;0.50;NA;
098 - Have total revenues of the news media sector increased or decreased over the past year?;1.00;0.50;NA;1.00;1.00;NA;0.75;0.50;1.00;1.00;NA;0.75;0.50;1.00;1.00;NA;0.75;1.00;1.00;NA;NA;0.75;0.00;0.75;NA;0.75;1.00;1.00;NA;1.00;0.75;0.75;
099 - Has the number of journalists employed in your country increased or decreased over the past year?;1.00;0.50;0.50;0.75;0.50;1.00;1.00;0.50;1.00;1.00;0.50;0.75;0.50;1.00;1.00;NA;NA;NA;NA;0.50;NA;1.00;NA;0.50;0.50;1.00;1.00;0.50;1.00;1.00;0.50;1.00;
100 - Have news media organizations in your country carried out layoffs and/or salary cuts in the past year?;1.00;0.00;0.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;0.50;0.75;0.50;1.00;1.00;1.00;0.50;1.00;0.75;0.00;0.50;1.00;1.00;0.00;0.50;1.00;1.00;0.50;1.00;1.00;0.50;1.00;
101 - Did the number of news media outlets in your country increase or decrease over the past year?;0.50;0.50;1.00;NA;NA;0.50;NA;0.50;0.50;NA;0.50;0.75;0.00;1.00;0.50;1.00;1.00;0.50;0.50;0.00;0.50;0.50;NA;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;NA;
102 - Has the demand for freelancers' contribution decreased or increased over the past year?;NA;1.00;1.00;0.50;1.00;0.50;1.00;NA;1.00;1.00;1.00;NA;NA;1.00;1.00;1.00;NA;NA;NA;NA;NA;1.00;NA;0.50;1.00;0.50;0.50;1.00;1.00;1.00;1.00;NA;
103 - Have the economic conditions of freelance journalists improved or worsened over the past year?;NA;1.00;1.00;1.00;1.00;1.00;1.00;NA;1.00;1.00;1.00;0.75;0.75;1.00;1.00;1.00;0.75;0.75;1.00;NA;1.00;NA;0.75;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
104 - Has expenditure for total advertising (online and offline) on news media increased or decreased over the past year?;1.00;0.50;0.50;1.00;1.00;1.00;0.50;0.50;1.00;1.00;1.00;0.75;0.50;1.00;1.00;1.00;0.75;1.00;NA;1.00;1.00;1.00;0.00;1.00;1.00;0.75;1.00;1.00;0.50;1.00;0.75;1.00;
105 - Are news media organizations in your country developing sources of revenue other than traditional revenue streams?;1.00;0.00;0.50;0.50;1.00;1.00;0.00;0.00;0.50;0.00;0.00;0.50;0.50;0.50;1.00;0.50;0.50;0.50;0.50;1.00;0.00;0.50;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.50;1.00;0.50;
106 - Are there any laws in your country that establish favorable public support schemes for the news media sector? And are they effective?;1.00;0.50;0.00;1.00;0.50;0.50;0.00;1.00;0.50;0.00;0.00;0.50;1.00;1.00;0.50;0.00;0.50;0.00;0.50;0.50;0.50;0.50;1.00;0.50;1.00;0.50;0.50;0.00;1.00;0.50;1.00;1.00;
107 - If existent, does the public support schemes for media sector cover online media?;NA;1.00;0.00;NA;0.50;0.00;0.00;NA;0.50;0.50;0.00;1.00;NA;NA;0.50;0.00;0.50;0.00;0.50;0.50;0.50;0.50;NA;0.50;NA;0.50;1.00;0.00;NA;0.50;NA;1.00;
108 - Are there any mechanisms granting social protection to journalists in case of changes of ownership or editorial line and are they effectively implemented?;1.00;0.50;1.00;1.00;0.50;0.50;0.00;0.50;0.50;0.50;0.00;1.00;1.00;0.50;0.50;1.00;1.00;0.00;0.50;1.00;0.50;0.50;1.00;1.00;1.00;1.00;0.50;1.00;1.00;0.00;0.50;0.50;
109 - Are there any regulatory safeguards, including self-regulatory instruments, which seek to ensure that decisions regarding appointments and dismissals of editors-in-chief are not influenced by commercial interests and are they effectively implemented?;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.00;1.00;1.00;1.00;0.50;1.00;0.50;0.50;1.00;1.00;1.00;0.00;1.00;0.50;1.00;1.00;1.00;1.00;1.00;0.00;0.50;1.00;
110 - Are there any laws  and/or self-regulatory measures stipulating the obligation of journalists and/or media outlets not to be influenced by commercial interests, and are they effectively implemented?;1.00;1.00;0.00;0.50;0.50;0.50;0.00;0.00;0.00;0.50;0.00;0.50;1.00;0.00;0.50;1.00;0.50;0.00;0.50;1.00;0.50;0.00;1.00;0.50;0.00;0.50;0.50;0.00;0.50;0.00;0.50;0.50;
111 - Are there any laws and/or self-regulatory measures stipulating that the exercise of the journalistic profession is incompatible with activities in the field of advertising and  are they effectively implemented?;0.50;0.00;0.00;0.50;0.50;1.00;1.00;0.00;0.50;0.50;0.00;0.00;1.00;0.50;0.00;0.50;0.50;0.00;0.50;0.50;0.50;0.00;1.00;0.50;1.00;0.50;0.50;0.50;0.50;0.00;0.50;0.50;
112 - Do the same laws, and/or self-regulatory measures and safeguards apply to journalistic work in online news media?;NA;0.50;0.00;0.50;1.00;1.00;0.00;0.00;0.50;0.50;0.00;0.50;0.00;0.50;0.50;0.50;0.00;0.00;0.50;0.00;0.00;0.00;NA;0.00;0.50;0.00;0.50;0.00;0.00;0.00;0.50;0.50;
113 - Are there any laws or self-regulation prohibiting advertorials or other forms of disguised advertisement, and are they effectively implemented?;0.50;0.00;0.00;0.50;0.00;0.50;0.00;0.00;0.50;0.50;0.00;0.00;0.50;0.50;0.50;1.00;0.50;0.50;0.50;0.50;0.50;0.00;1.00;0.50;0.00;0.50;0.00;0.00;1.00;0.00;0.50;0.50;
114 - Are there any laws or self-regulation prohibiting disguised advertisement online, and are they effectively implemented?;0.50;0.00;0.00;1.00;0.50;1.00;0.00;0.50;0.50;0.50;0.00;0.50;0.50;0.50;0.50;1.00;0.00;0.75;0.50;0.50;0.50;0.00;1.00;0.50;0.00;1.00;0.50;0.50;0.50;0.00;0.50;0.50;
115 - Is editorial content independent from commercial influence in practice?;1.00;0.50;0.50;1.00;1.00;0.50;0.00;0.50;0.50;0.50;0.00;0.50;1.00;0.50;0.50;0.00;1.00;0.50;0.50;0.50;0.50;0.50;1.00;1.00;0.50;1.00;0.50;0.50;1.00;0.00;0.50;1.00;
